Target,Split,Model,n_train,n_test,MCC,AUROC,AUPRC,BalAcc
AChE,random,RandomForest,3728,932,0.6058,0.8902,0.9324,0.8067
AChE,random,XGBoost,3728,932,0.5332,0.8686,0.9185,0.7612
AChE,random,SVM,3728,932,0.573,0.8711,0.9124,0.7838
AChE,random,FFNN,3728,932,0.561,0.8634,0.9091,0.7877
AChE,scaffold,RandomForest,3728,932,0.5444,0.8513,0.8936,0.7738
AChE,scaffold,XGBoost,3728,932,0.4009,0.8129,0.8671,0.6872
AChE,scaffold,SVM,3728,932,0.4608,0.8316,0.8761,0.7128
AChE,scaffold,FFNN,3728,932,0.4689,0.8155,0.8578,0.7357
AChE,np_holdout,RandomForest,4248,412,0.2127,0.6777,0.6885,0.6035
AChE,np_holdout,XGBoost,4248,412,0.1293,0.6287,0.6319,0.5635
AChE,np_holdout,SVM,4248,412,0.1074,0.6703,0.6795,0.5446
AChE,np_holdout,FFNN,4248,412,0.3193,0.7013,0.6814,0.6586
5LOX,random,RandomForest,1700,425,0.5819,0.8741,0.9182,0.7962
5LOX,random,XGBoost,1700,425,0.5507,0.8681,0.9132,0.7727
5LOX,random,SVM,1700,425,0.5553,0.8488,0.8842,0.7821
5LOX,random,FFNN,1700,425,0.5764,0.8623,0.9123,0.7957
5LOX,scaffold,RandomForest,1692,433,0.5223,0.8452,0.9124,0.772
5LOX,scaffold,XGBoost,1692,433,0.5332,0.8345,0.9087,0.7707
5LOX,scaffold,SVM,1692,433,0.4705,0.816,0.8802,0.7364
5LOX,scaffold,FFNN,1692,433,0.3987,0.8042,0.891,0.7097
5LOX,np_holdout,RandomForest,1724,401,0.3711,0.7116,0.7662,0.6874
5LOX,np_holdout,XGBoost,1724,401,0.1435,0.6442,0.7143,0.5723
5LOX,np_holdout,SVM,1724,401,0.1455,0.6855,0.7308,0.5726
5LOX,np_holdout,FFNN,1724,401,0.2229,0.6954,0.7437,0.6107
COX2,random,RandomForest,2947,737,0.5789,0.8661,0.923,0.7892
COX2,random,XGBoost,2947,737,0.554,0.8596,0.915,0.7559
COX2,random,SVM,2947,737,0.5312,0.8373,0.9031,0.7564
COX2,random,FFNN,2947,737,0.5105,0.8448,0.9104,0.7632
COX2,scaffold,RandomForest,2947,737,0.4111,0.7841,0.8935,0.7192
COX2,scaffold,XGBoost,2947,737,0.323,0.7395,0.8802,0.6592
COX2,scaffold,SVM,2947,737,0.2833,0.7285,0.8589,0.6259
COX2,scaffold,FFNN,2947,737,0.3816,0.7633,0.8788,0.7086
COX2,np_holdout,RandomForest,3513,171,0.2922,0.6863,0.6207,0.6318
COX2,np_holdout,XGBoost,3513,171,0.2842,0.7193,0.6252,0.6486
COX2,np_holdout,SVM,3513,171,0.1551,0.6898,0.6385,0.5626
COX2,np_holdout,FFNN,3513,171,0.1311,0.627,0.4433,0.5667
