Target,Rank,Morgan_bit,Mean_abs_SHAP_synthetic,Mean_abs_SHAP_NP,Synthetic_frequency,NP_frequency,Delta_NP_minus_synthetic,Abs_delta_frequency
AChE,1,317,341444418.49910563,858509760.0858313,0.015,0.0,-0.015,0.015
AChE,2,485,321524067.4598474,807676273.0381842,0.01,0.005,-0.005,0.005
AChE,3,2005,307029331.2968554,774090418.3035449,0.005,0.01,0.005,0.005
AChE,4,383,330287139.7658133,736992060.0214638,0.015,0.005,-0.009999999999999998,0.009999999999999998
AChE,5,1475,329414628.323707,712775647.9808927,0.04,0.13,0.09,0.09
AChE,6,335,324775712.1288482,714776658.933268,0.01,0.01,0.0,0.0
AChE,7,410,322394946.76472455,707039838.4891123,0.015,0.005,-0.009999999999999998,0.009999999999999998
AChE,8,1652,321468623.0880735,701210950.3149705,0.025,0.005,-0.02,0.02
AChE,9,856,292267050.35678476,718895561.6393973,0.035,0.015,-0.020000000000000004,0.020000000000000004
AChE,10,108,297548665.5622657,711369123.4320737,0.005,0.0,-0.005,0.005
AChE,11,1307,290255630.82891953,718459572.2778795,0.03,0.005,-0.024999999999999998,0.024999999999999998
AChE,12,760,318209282.550387,690351585.1091411,0.005,0.02,0.015,0.015
AChE,13,1693,328702843.11355627,673018778.0099438,0.055,0.025,-0.03,0.03
AChE,14,110,283188045.74207556,717076115.1048422,0.02,0.0,-0.02,0.02
AChE,15,1428,315477051.3650765,684313564.0624963,0.01,0.0,-0.01,0.01
AChE,16,754,318478495.99916005,672691157.8628088,0.01,0.005,-0.005,0.005
AChE,17,1073,289504758.9894157,700507420.2340846,0.01,0.005,-0.005,0.005
AChE,18,1523,287929358.5461459,699873314.3737029,0.0,0.005,0.005,0.005
AChE,19,21,275199846.58877397,708548438.2183512,0.025,0.0,-0.025,0.025
AChE,20,325,311545141.04196835,669566426.1105741,0.035,0.015,-0.020000000000000004,0.020000000000000004
5LOX,1,1285,1.0673553432997005,1.4954906325478574,0.0,0.0,0.0,0.0
5LOX,2,991,0.9835485963704892,1.5384898869409809,0.015,0.0,-0.015,0.015
5LOX,3,532,1.0792326704632078,1.426513886106144,0.005,0.0,-0.005,0.005
5LOX,4,1064,1.0371694507454858,1.4407004694170147,0.015,0.0,-0.015,0.015
5LOX,5,151,1.0084179746116664,1.3446000205102828,0.01,0.0,-0.01,0.01
5LOX,6,628,1.0058574652527934,1.3376097422215016,0.015,0.0,-0.015,0.015
5LOX,7,211,0.956366734743384,1.3788466589008979,0.025,0.0,-0.025,0.025
5LOX,8,1696,0.9450156029081305,1.3894726553520074,0.045,0.0,-0.045,0.045
5LOX,9,585,0.9465435916660699,1.331625700473714,0.03,0.065,0.035,0.035
5LOX,10,231,0.990549154817018,1.2853536792034035,0.055,0.015,-0.04,0.04
5LOX,11,1554,0.980303705381931,1.2735141668057546,0.02,0.0,-0.02,0.02
5LOX,12,1308,0.9579069198403468,1.2957176439156008,0.03,0.035,0.0050000000000000044,0.0050000000000000044
5LOX,13,446,0.9968154061346997,1.2498142999650852,0.05,0.02,-0.030000000000000002,0.030000000000000002
5LOX,14,460,0.9882493427132808,1.2484681487250775,0.025,0.005,-0.02,0.02
5LOX,15,716,0.95906162405919,1.2164575803636866,0.01,0.03,0.019999999999999997,0.019999999999999997
5LOX,16,731,1.0202006199354268,1.1525252036017897,0.0,0.0,0.0,0.0
5LOX,17,1330,0.8628849402753697,1.3079327372393001,0.025,0.005,-0.02,0.02
5LOX,18,2012,0.9417535262659024,1.2052145676655264,0.0,0.0,0.0,0.0
5LOX,19,527,0.9303300955192279,1.2072068030669632,0.01,0.0,-0.01,0.01
5LOX,20,419,0.9300449458482423,1.190408153220784,0.015,0.01,-0.004999999999999999,0.004999999999999999
COX2,1,1983,150492.35275972166,195805.22785998852,0.01,0.07017543859649122,0.06017543859649122,0.06017543859649122
COX2,2,785,149490.8368436918,194053.59141699888,0.0,0.0,0.0,0.0
COX2,3,1886,138883.79437509266,195156.53678967129,0.015,0.005847953216374269,-0.00915204678362573,0.00915204678362573
COX2,4,463,150910.94642056574,178677.33749142164,0.02,0.0,-0.02,0.02
COX2,5,255,128144.47295325408,195771.19024306792,0.025,0.005847953216374269,-0.019152046783625733,0.019152046783625733
COX2,6,1469,142307.8514929267,181009.8009383105,0.0,0.0,0.0,0.0
COX2,7,1833,139777.1672898329,180695.84557008132,0.0,0.005847953216374269,0.005847953216374269,0.005847953216374269
COX2,8,1299,130167.7552246846,188297.96996680912,0.0,0.005847953216374269,0.005847953216374269,0.005847953216374269
COX2,9,1237,127747.31372429423,185400.1751059539,0.0,0.0,0.0,0.0
COX2,10,1752,136313.3097293709,174357.99578393603,0.005,0.0,-0.005,0.005
COX2,11,879,124507.43665157203,179612.4668663991,0.04,0.005847953216374269,-0.03415204678362573,0.03415204678362573
COX2,12,687,130616.55862704065,172304.55930789228,0.0,0.0,0.0,0.0
COX2,13,815,129998.04084421323,172810.00582233415,0.01,0.011695906432748537,0.0016959064327485372,0.0016959064327485372
COX2,14,1133,126652.39775386691,176127.33930915713,0.01,0.0,-0.01,0.01
COX2,15,251,130533.10669754005,170900.01713292912,0.005,0.0,-0.005,0.005
COX2,16,1281,139182.80100945634,161808.8897026554,0.0,0.0,0.0,0.0
COX2,17,560,147183.11965440548,153722.48973953445,0.005,0.0,-0.005,0.005
COX2,18,496,135118.08740748203,165223.21964534797,0.025,0.005847953216374269,-0.019152046783625733,0.019152046783625733
COX2,19,1589,127433.7677539704,171804.89506251574,0.015,0.06432748538011696,0.049327485380116956,0.049327485380116956
COX2,20,1716,132040.53714786237,165532.2290480394,0.025,0.0,-0.025,0.025
