inchikey,std_smiles,pchembl_value,activity,scaffold,compound_type,source,target,np_likeness_score,in_coconut
AAMLFGWTUJRCRM-UHFFFAOYSA-N,NC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OCC1,7.045,1,C1=Cc2cc(Oc3ccccc3)ccc2OCC1,synthetic,ChEMBL36,5LOX,-0.07,False
ABMPYCHSSRMPBB-QVAGMWBUSA-N,CC(C)(C)SC/C(=N\OC(c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCCC1)C(=O)O,6.92,1,c1ccc2nc(COc3ccc(CC4CCCCC4)cc3)ccc2c1,synthetic,ChEMBL36,5LOX,-0.54,False
ABSVLRWGUIGOPF-UHFFFAOYSA-N,CC1(C)Cc2c(c(C(=O)Nc3ccc(C(F)(F)F)cc3)cc3nc(Nc4c(Cl)cccc4Cl)[nH]c23)O1,5.58,0,O=C(Nc1ccccc1)c1cc2nc(Nc3ccccc3)[nH]c2c2c1OCC2,synthetic,ChEMBL36,5LOX,-0.98,False
ABUXVEJMBFYGNK-UHFFFAOYSA-N,CC(c1ccc(CC(=O)NCc2ccccc2)o1)N(O)C(N)=O,5.3,0,O=C(Cc1ccco1)NCc1ccccc1,synthetic,ChEMBL36,5LOX,-0.42,False
ACMFQXYLQRDOAB-UHFFFAOYSA-N,O=C(O)c1ccc(N(Cc2cnc3ccccc3c2)S(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1,5.68,0,O=S(=O)(c1ccc(-c2ccccc2)cc1)N(Cc1cnc2ccccc2c1)c1ccccc1,synthetic,ChEMBL36,5LOX,-1.13,False
ACTXCQHXPKCRIZ-IMSXMHJPSA-N,COc1ccc(N2C(=O)C(CC(=O)O)S/C2=N/N=C/c2c(C)ccc(C(C)C)c2O)cc1,5.55,0,O=C1CS/C(=N/N=C/c2ccccc2)N1c1ccccc1,synthetic,ChEMBL36,5LOX,-0.63,False
ADEXLPGNFPLCCW-UHFFFAOYSA-N,CNC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1,7.415,1,C1=Cc2cc(Oc3ccccc3)ccc2OC1,synthetic,ChEMBL36,5LOX,-0.1,False
ADULNGOVQXYXNT-UHFFFAOYSA-N,O=C(O)C1CCC(=NOC(c2ccc(OCc3ccc4ccccc4n3)cc2)C2CCCCC2)CC1,7.17,1,c1ccc2nc(COc3ccc(C(ON=C4CCCCC4)C4CCCCC4)cc3)ccc2c1,synthetic,ChEMBL36,5LOX,-0.42,False
AEFCHFDXZTVNCV-UHFFFAOYSA-N,CC1C(=O)OC2C1CCC1(C)Cc3sc(NC(=O)c4ccc5c(c4)OCO5)nc3C(C)C21,5.7,0,O=C1CC2CCC3Cc4sc(NC(=O)c5ccc6c(c5)OCO6)nc4CC3C2O1,synthetic,ChEMBL36,5LOX,0.06,False
AEVHAKXZQAPBIQ-XPXRSFDGSA-N,O=C(O)/C(=N/OC(c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCCC1)c1ccccc1,7.51,1,C(=NOC(c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCCC1)c1ccccc1,synthetic,ChEMBL36,5LOX,-0.38,False
