inchikey,std_smiles,pchembl_value,activity,scaffold,compound_type,source,target,np_likeness_score,in_coconut
AACVKVMUDUPMQI-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccc2c(c1)OCO2,6.0,1,c1ccc(-c2ccc(C3=NNC(c4ccc5c(c4)OCO5)C3)cc2)cc1,synthetic,ChEMBL36,AChE,-0.67,False
AAEYHJGXSUBKQJ-UHFFFAOYSA-N,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)c(OC)c1)CCCC3,7.35,1,C1=CC(c2ccccc2)c2cc3c(nc2N1)CCCC3,synthetic,ChEMBL36,AChE,-0.53,False
AAIVPEBVZWQHCI-UHFFFAOYSA-N,CN1CCN(c2c3c(nc4ccc([N+](=O)[O-])cc24)CCCC3)CC1,6.61,1,c1ccc2c(N3CCNCC3)c3c(nc2c1)CCCC3,synthetic,ChEMBL36,AChE,-1.41,False
AAJCCATVSUSRCY-MDWZMJQESA-N,CN(C)CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,5.33,0,O=C(/C=C/c1ccccc1)c1ccccc1,synthetic,ChEMBL36,AChE,-0.55,False
AAUBXOLWHARFEP-UHFFFAOYSA-N,CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],9.4,1,O=c1ccn(CCCCCn2ccc(=O)n(CCCCC[NH2+]Cc3ccccc3)c2=O)c(=O)[nH]1,synthetic,ChEMBL36,AChE,-0.77,False
AAWCGROUIUANBA-UHFFFAOYSA-N,CCCSc1nc2nc3c(c(N)c2s1)C1CC(C)=CC(C3)C1,5.11,0,C1=CC2Cc3nc4ncsc4cc3C(C1)C2,synthetic,ChEMBL36,AChE,-0.46,False
AAXQEELWFXEVAH-UHFFFAOYSA-N,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,5.62,0,O=C(Nc1ccccc1)n1cnc(-c2ccccc2)n1,synthetic,ChEMBL36,AChE,-1.86,False
ABFVBWQMBVYWMV-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)C(Oc1cccc(CN3CCCCC3)c1)C2,6.57,1,O=C1c2ccccc2CC1Oc1cccc(CN2CCCCC2)c1,synthetic,ChEMBL36,AChE,-0.28,False
ABHQPKFAWBLZQM-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1-c1nnc(Nc2ncccn2)o1,5.47,0,c1ccc(-c2nnc(Nc3ncccn3)o2)cc1,synthetic,ChEMBL36,AChE,-1.93,False
ABMUIKNLWXQBLZ-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccccc1F,6.48,1,O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccccc1,synthetic,ChEMBL36,AChE,-1.14,False
